loanId	memberId	date	purpose	isJointApplication	loanAmount	term	interestRate	monthlyPayment	grade	loanStatus
10000000	16334480	7/2/2016	debtconsolidation	0	23765	60 months	9.38	498	D1	
10000001	16334481	7/3/2016	debtconsolidation	0	24302	60 months	6.84	479	C3	
10000002	16334482	7/4/2016	debtconsolidation	0	18395	60 months	15.67	444	E1	
10000003	16334483	7/5/2016	debtconsolidation	0	19621	48 months	7.48	474	A1	
10000004	16334484	7/6/2016	debtconsolidation	0	20577	48 months	9.26	515	E3	
10000005	16334485	7/7/2016	debtconsolidation	0	21751	60 months	6.6	427	C2	
10000006	16334486	7/8/2016	debtconsolidation	0	19911	48 months	14.12	545	C3	
10000007	16334487	7/9/2016	debtconsolidation	0	21274	60 months	12.86	483	C3	
10000008	16334488	7/10/2016	debtconsolidation	0	25574	60 months	13.26	585	C2	
10000009	16334489	7/11/2016	debtconsolidation	0	24363	48 months	13.87	664	C1	
10000010	16334490	7/12/2016	debtconsolidation	0	16706	48 months	12.55		A1	
10000011	16334491	7/13/2016	debtconsolidation	0	19700	48 months	8.71	488	E1	
10000012	16334492	7/14/2016	debtconsolidation	0	17890	60 months	8.13	364	A3	
10000013	16334493	7/15/2016	debtconsolidation	0	25015	36 months	9.38	800	D1	
10000014	16334494	7/16/2016	debtconsolidation	0	18572	60 months	9.6	391	A1	
10000015	16334495	7/17/2016	homeimprovement	0	21720	60 months	18.19	554	C1	
10000016	16334496	7/18/2016	debtconsolidation	0	13999	60 months	6.67	275	A1	
10000017	16334497	7/19/2016	debtconsolidation	0	24864	48 months	19.43	749	C1	
10000018	16334498	7/20/2016	debtconsolidation	0	14228	60 months	6.19	276	A1	
10000019	16334499	7/21/2016	business	0	19389	60 months	7.64	390	B3	
10000020	16334500	7/22/2016	homeimprovement	0	18235	36 months	18.65	665	B2	
10000021	16334501	7/23/2016	debtconsolidation	0	18493	36 months	7.52	575	A1	
